network_number,name,author,Primary_type, Specialized_aquatic_type,number_of_nodes,is_connected,year_published,decade_published,Ecopath
162,AEW06_,Digel_et_al_2014,Terrestrial,,120,TRUE,2014,,Not_Ecopath_model
163,AEW07_,Digel_et_al_2014,Terrestrial,,129,TRUE,2014,,Not_Ecopath_model
164,AEW08_,Digel_et_al_2014,Terrestrial,,136,TRUE,2014,,Not_Ecopath_model
165,AEW09_,Digel_et_al_2014,Terrestrial,,134,TRUE,2014,,Not_Ecopath_model
166,AEW11_,Digel_et_al_2014,Terrestrial,,120,TRUE,2014,,Not_Ecopath_model
167,AEW17_,Digel_et_al_2014,Terrestrial,,145,TRUE,2014,,Not_Ecopath_model
168,AEW18_,Digel_et_al_2014,Terrestrial,,111,TRUE,2014,,Not_Ecopath_model
169,AEW25_,Digel_et_al_2014,Terrestrial,,123,TRUE,2014,,Not_Ecopath_model
170,AEW27_,Digel_et_al_2014,Terrestrial,,120,TRUE,2014,,Not_Ecopath_model
171,AEW30_,Digel_et_al_2014,Terrestrial,,114,TRUE,2014,,Not_Ecopath_model
172,AEW49_,Digel_et_al_2014,Terrestrial,,154,TRUE,2014,,Not_Ecopath_model
173,HEW01_,Digel_et_al_2014,Terrestrial,,134,TRUE,2014,,Not_Ecopath_model
174,HEW02_,Digel_et_al_2014,Terrestrial,,126,TRUE,2014,,Not_Ecopath_model
175,HEW03_,Digel_et_al_2014,Terrestrial,,123,TRUE,2014,,Not_Ecopath_model
176,HEW04_,Digel_et_al_2014,Terrestrial,,116,TRUE,2014,,Not_Ecopath_model
177,HEW05_,Digel_et_al_2014,Terrestrial,,168,TRUE,2014,,Not_Ecopath_model
178,HEW06_,Digel_et_al_2014,Terrestrial,,142,TRUE,2014,,Not_Ecopath_model
179,HEW10_,Digel_et_al_2014,Terrestrial,,91,TRUE,2014,,Not_Ecopath_model
180,HEW11_,Digel_et_al_2014,Terrestrial,,132,TRUE,2014,,Not_Ecopath_model
181,HEW12_,Digel_et_al_2014,Terrestrial,,143,TRUE,2014,,Not_Ecopath_model
182,HEW13_,Digel_et_al_2014,Terrestrial,,144,TRUE,2014,,Not_Ecopath_model
183,HEW16_,Digel_et_al_2014,Terrestrial,,132,TRUE,2014,,Not_Ecopath_model
184,HEW17_,Digel_et_al_2014,Terrestrial,,139,TRUE,2014,,Not_Ecopath_model
185,HEW21_,Digel_et_al_2014,Terrestrial,,146,TRUE,2014,,Not_Ecopath_model
186,HEW22_,Digel_et_al_2014,Terrestrial,,137,TRUE,2014,,Not_Ecopath_model
187,HEW36_,Digel_et_al_2014,Terrestrial,,160,TRUE,2014,,Not_Ecopath_model
188,HEW47_,Digel_et_al_2014,Terrestrial,,148,TRUE,2014,,Not_Ecopath_model
189,SEW01_,Digel_et_al_2014,Terrestrial,,104,TRUE,2014,,Not_Ecopath_model
190,SEW02_,Digel_et_al_2014,Terrestrial,,93,TRUE,2014,,Not_Ecopath_model
191,SEW03_,Digel_et_al_2014,Terrestrial,,122,TRUE,2014,,Not_Ecopath_model
192,SEW04_,Digel_et_al_2014,Terrestrial,,120,TRUE,2014,,Not_Ecopath_model
193,SEW05_,Digel_et_al_2014,Terrestrial,,101,TRUE,2014,,Not_Ecopath_model
194,SEW06_,Digel_et_al_2014,Terrestrial,,127,TRUE,2014,,Not_Ecopath_model
195,SEW07_,Digel_et_al_2014,Terrestrial,,132,TRUE,2014,,Not_Ecopath_model
196,SEW08_,Digel_et_al_2014,Terrestrial,,118,TRUE,2014,,Not_Ecopath_model
197,SEW09_,Digel_et_al_2014,Terrestrial,,89,TRUE,2014,,Not_Ecopath_model
198,SEW18_,Digel_et_al_2014,Terrestrial,,123,TRUE,2014,,Not_Ecopath_model
199,SEW35_,Digel_et_al_2014,Terrestrial,,101,TRUE,2014,,Not_Ecopath_model
200,SEW36_,Digel_et_al_2014,Terrestrial,,89,TRUE,2014,,Not_Ecopath_model
201,SEW37_,Digel_et_al_2014,Terrestrial,,118,TRUE,2014,,Not_Ecopath_model
202,SEW41_,Digel_et_al_2014,Terrestrial,,118,TRUE,2014,,Not_Ecopath_model
203,SEW43_,Digel_et_al_2014,Terrestrial,,120,TRUE,2014,,Not_Ecopath_model
204,SEW48_,Digel_et_al_2014,Terrestrial,,118,TRUE,2014,,Not_Ecopath_model
205,Alford_Lake_,Havens_1992,Aquatic,Lake,56,TRUE,1992,,Not_Ecopath_model
206,Balsam_Lake_,Havens_1992,Aquatic,Lake,50,TRUE,1992,,Not_Ecopath_model
207,Beaver_Lake_,Havens_1992,Aquatic,Lake,56,TRUE,1992,,Not_Ecopath_model
208,Big_Hope_Lake_,Havens_1992,Aquatic,Lake,61,TRUE,1992,,Not_Ecopath_model
209,Brandy_Lake_,Havens_1992,Aquatic,Lake,30,TRUE,1992,,Not_Ecopath_model
210,Bridge_Brook_Lake_,Havens_1992,Aquatic,Lake,75,TRUE,1992,,Not_Ecopath_model
