"Ictalurus_nebulosus" "benthic_detritus"
"copepod_nauplii" "Cryptomonas_ovata"
"copepod_nauplii" "nanoflagellates"
"Diaptomus_sicilis" "Tropocyclops_prasinus"
"Diaptomus_minutus" "Tropocyclops_prasinus"
"Keratella_cochlearis" "Tropocyclops_prasinus"
"Keratella_serrulata" "Tropocyclops_prasinus"
"Keratella_taurocephala" "Tropocyclops_prasinus"
"Polyarthra_remata" "Tropocyclops_prasinus"
"Conochiloides_unicornis" "Tropocyclops_prasinus"
"Gastropus_stylifer" "Tropocyclops_prasinus"
"Polyarthra_euryptera" "Tropocyclops_prasinus"
"Bosmina_longirostris" "Tropocyclops_prasinus"
"Conochiloides_dossuarius" "Tropocyclops_prasinus"
"Keratella_crassa" "Tropocyclops_prasinus"
"Trichotria_tetractis" "Tropocyclops_prasinus"
"Ceriodaphnia_quadrangula" "Tropocyclops_prasinus"
"Daphnia_ambigua" "Tropocyclops_prasinus"
"Daphnia_parvula" "Tropocyclops_prasinus"
"Colletheca_mutabilis" "Tropocyclops_prasinus"
"copepod_nauplii" "Tropocyclops_prasinus"
"Tropocyclops_prasinus" "Eucyclops_agilis"
"Tropocyclops_prasinus" "Mesocyclops_edax"
"Tropocyclops_prasinus" "Leptodora_kindtii"
"Tropocyclops_prasinus" "Peridinium_wisconsinense"
"Diaptomus_sicilis" "Eucyclops_agilis"
"Diaptomus_minutus" "Eucyclops_agilis"
"Keratella_cochlearis" "Eucyclops_agilis"
"Keratella_serrulata" "Eucyclops_agilis"
"Keratella_taurocephala" "Eucyclops_agilis"
"Polyarthra_remata" "Eucyclops_agilis"
"Conochiloides_unicornis" "Eucyclops_agilis"
"Gastropus_stylifer" "Eucyclops_agilis"
"Polyarthra_euryptera" "Eucyclops_agilis"
"Bosmina_longirostris" "Eucyclops_agilis"
"Conochiloides_dossuarius" "Eucyclops_agilis"
"Keratella_crassa" "Eucyclops_agilis"
"Trichotria_tetractis" "Eucyclops_agilis"
"Ceriodaphnia_quadrangula" "Eucyclops_agilis"
"Daphnia_ambigua" "Eucyclops_agilis"
"Daphnia_parvula" "Eucyclops_agilis"
"Colletheca_mutabilis" "Eucyclops_agilis"
"copepod_nauplii" "Eucyclops_agilis"
"Eucyclops_agilis" "Mesocyclops_edax"
"Eucyclops_agilis" "Leptodora_kindtii"
"Eucyclops_agilis" "Peridinium_wisconsinense"
"Diaptomus_sicilis" "Mesocyclops_edax"
"Diaptomus_minutus" "Mesocyclops_edax"
"Keratella_cochlearis" "Mesocyclops_edax"
"Keratella_serrulata" "Mesocyclops_edax"
"Keratella_taurocephala" "Mesocyclops_edax"
"Polyarthra_remata" "Mesocyclops_edax"
"Conochiloides_unicornis" "Mesocyclops_edax"
"Gastropus_stylifer" "Mesocyclops_edax"
"Polyarthra_euryptera" "Mesocyclops_edax"
"Bosmina_longirostris" "Mesocyclops_edax"
"Conochiloides_dossuarius" "Mesocyclops_edax"
"Keratella_crassa" "Mesocyclops_edax"
"Trichotria_tetractis" "Mesocyclops_edax"
"Ceriodaphnia_quadrangula" "Mesocyclops_edax"
"Daphnia_ambigua" "Mesocyclops_edax"
"Daphnia_parvula" "Mesocyclops_edax"
"Colletheca_mutabilis" "Mesocyclops_edax"
