"Ictalurus_nebulosus" "benthic_detritus"
"Trichocerca_cylindrica" "nanoflagellates"
"Ascomorpha_ecaudis" "Cryptomonas_erosa"
"Ascomorpha_ecaudis" "nanoflagellates"
"Conochiloides_unicornis" "Cryptomonas_erosa"
"Conochiloides_unicornis" "nanoflagellates"
"Keratella_cochlearis" "Epishura_lacustris"
"Keratella_taurocephala" "Epishura_lacustris"
"Kelicottia_longispina" "Epishura_lacustris"
"Trichocerca_cylindrica" "Epishura_lacustris"
"Ascomorpha_ecaudis" "Epishura_lacustris"
"Conochiloides_unicornis" "Epishura_lacustris"
"Epishura_lacustris" "Trichocerca_pusilla"
"Epishura_lacustris" "Gastropus_stylifer"
"Epishura_lacustris" "Polyarthra_major"
"Epishura_lacustris" "Polyarthra_euryptera"
"Epishura_lacustris" "Bosmina_longirostris"
"Epishura_lacustris" "Conochiloides_dossuarius"
"Epishura_lacustris" "Synchaeta_sp."
"Epishura_lacustris" "Colletheca_mutabilis"
"Epishura_lacustris" "copepod_nauplii"
"Epishura_lacustris" "Gymnodinium_palustre"
"Epishura_lacustris" "Peridinium_cinctum"
"Epishura_lacustris" "Peridinium_inconspicuum"
"Epishura_lacustris" "Ceratium_carolinianum"
"Trichocerca_pusilla" "Cryptomonas_erosa"
"Trichocerca_pusilla" "nanoflagellates"
"Gastropus_stylifer" "Cryptomonas_erosa"
"Gastropus_stylifer" "nanoflagellates"
"Polyarthra_major" "Cryptomonas_erosa"
"Polyarthra_major" "nanoflagellates"
"Polyarthra_euryptera" "Cryptomonas_erosa"
"Polyarthra_euryptera" "nanoflagellates"
"Bosmina_longirostris" "Cryptomonas_erosa"
"Bosmina_longirostris" "nanoflagellates"
"Conochiloides_dossuarius" "Cryptomonas_erosa"
"Conochiloides_dossuarius" "nanoflagellates"
"Synchaeta_sp." "Cryptomonas_erosa"
"Synchaeta_sp." "nanoflagellates"
"Daphnia_catawba" "Leptodora_kindtii"
"Daphnia_galeata" "Leptodora_kindtii"
"Daphnia_longiremis" "Leptodora_kindtii"
"Keratella_cochlearis" "Leptodora_kindtii"
"Keratella_taurocephala" "Leptodora_kindtii"
"Kelicottia_longispina" "Leptodora_kindtii"
"Holopedium_gibberum" "Leptodora_kindtii"
"Trichocerca_cylindrica" "Leptodora_kindtii"
"Ascomorpha_ecaudis" "Leptodora_kindtii"
"Conochiloides_unicornis" "Leptodora_kindtii"
"Trichocerca_pusilla" "Leptodora_kindtii"
"Gastropus_stylifer" "Leptodora_kindtii"
"Polyarthra_major" "Leptodora_kindtii"
"Polyarthra_euryptera" "Leptodora_kindtii"
"Bosmina_longirostris" "Leptodora_kindtii"
"Conochiloides_dossuarius" "Leptodora_kindtii"
"Synchaeta_sp." "Leptodora_kindtii"
"Leptodora_kindtii" "Colletheca_mutabilis"
"Leptodora_kindtii" "Diaphanosoma_birgei"
"Leptodora_kindtii" "copepod_nauplii"
"Leptodora_kindtii" "Gymnodinium_palustre"
"Leptodora_kindtii" "Peridinium_cinctum"
"Leptodora_kindtii" "Peridinium_inconspicuum"
"Leptodora_kindtii" "Ceratium_carolinianum"
"Colletheca_mutabilis" "Cryptomonas_erosa"
"Colletheca_mutabilis" "nanoflagellates"
"Diaphanosoma_birgei" "Cryptomonas_erosa"
"Diaphanosoma_birgei" "nanoflagellates"
"copepod_nauplii" "Cryptomonas_erosa"
"copepod_nauplii" "nanoflagellates"
"Ictalurus_nebulosus" "Micropterus_salmoides"
"fish_fry" "Micropterus_salmoides"
"Lepomis_gibbosus" "Micropterus_salmoides"
"Prosopium_cylindraceum" "Micropterus_salmoides"
"Catostomus_commersoni" "Micropterus_salmoides"
"Perca_flavescens" "Micropterus_salmoides"
"Coregonus_clupeaformis" "Micropterus_salmoides"
"Micropterus_salmoides" "Micropterus_dolomieui"
"Micropterus_salmoides" "Salvelinus_namaycush"
"Micropterus_salmoides" "Osmerus_mordax"
"Micropterus_salmoides" "Semotilus_corporalis"
"Micropterus_salmoides" "Coregonus_artedii"
"Micropterus_salmoides" "Notemigonus_crysoleucas"
"Ictalurus_nebulosus" "Micropterus_dolomieui"
"fish_fry" "Micropterus_dolomieui"
"Lepomis_gibbosus" "Micropterus_dolomieui"
"Prosopium_cylindraceum" "Micropterus_dolomieui"
"Catostomus_commersoni" "Micropterus_dolomieui"
"Perca_flavescens" "Micropterus_dolomieui"
"Coregonus_clupeaformis" "Micropterus_dolomieui"
"Micropterus_dolomieui" "Salvelinus_namaycush"
"Micropterus_dolomieui" "Osmerus_mordax"
"Micropterus_dolomieui" "Semotilus_corporalis"
"Micropterus_dolomieui" "Coregonus_artedii"
"Micropterus_dolomieui" "Notemigonus_crysoleucas"
"Ictalurus_nebulosus" "Salvelinus_namaycush"
"fish_fry" "Salvelinus_namaycush"
"Lepomis_gibbosus" "Salvelinus_namaycush"
"Prosopium_cylindraceum" "Salvelinus_namaycush"
"Catostomus_commersoni" "Salvelinus_namaycush"
"Perca_flavescens" "Salvelinus_namaycush"
"Coregonus_clupeaformis" "Salvelinus_namaycush"
"Salvelinus_namaycush" "Osmerus_mordax"
"Salvelinus_namaycush" "Semotilus_corporalis"
"Salvelinus_namaycush" "Coregonus_artedii"
"Salvelinus_namaycush" "Notemigonus_crysoleucas"
"fish_fry" "Osmerus_mordax"
"Daphnia_catawba" "Osmerus_mordax"
"Daphnia_galeata" "Osmerus_mordax"
"Daphnia_longiremis" "Osmerus_mordax"
"Diaptomus_minutus" "Osmerus_mordax"
"Keratella_cochlearis" "Osmerus_mordax"
"Keratella_taurocephala" "Osmerus_mordax"
"Kelicottia_longispina" "Osmerus_mordax"
"Tropocyclops_prasinus" "Osmerus_mordax"
"Asplanchna_sp." "Osmerus_mordax"
"Holopedium_gibberum" "Osmerus_mordax"
"Mesocyclops_edax" "Osmerus_mordax"
"Cyclops_vernalis" "Osmerus_mordax"
"Trichocerca_cylindrica" "Osmerus_mordax"
"Ascomorpha_ecaudis" "Osmerus_mordax"
"Conochiloides_unicornis" "Osmerus_mordax"
"Epishura_lacustris" "Osmerus_mordax"
"Trichocerca_pusilla" "Osmerus_mordax"
"Gastropus_stylifer" "Osmerus_mordax"
"Polyarthra_major" "Osmerus_mordax"
"Polyarthra_euryptera" "Osmerus_mordax"
"Bosmina_longirostris" "Osmerus_mordax"
