"western_wheatgrass_(grass)" "grasshopper_mouse"
"lichen_(forb/shrub)" "grasshopper_mouse"
"Coleoptera" "grasshopper_mouse"
"Diptera" "grasshopper_mouse"
"Hymenoptera" "grasshopper_mouse"
"butterflies" "grasshopper_mouse"
"unidentified_grasshoppers" "grasshopper_mouse"
"spiders" "grasshopper_mouse"
"misc._fur_-_feather_-_fin" "grasshopper_mouse"
"misc._arthropods" "grasshopper_mouse"
"Coleoptera" "burrowing_owl"
"unidentified_grasshoppers" "burrowing_owl"
"burrowing_owl" "crickets"
"burrowing_owl" "cottontail_rabbits"
"burrowing_owl" "prairie_vole"
"burrowing_owl" "house_mouse"
"burrowing_owl" "hispid_pocket_mouse"
"burrowing_owl" "unidentified_bird"
"deer_mouse" "burrowing_owl"
"misc._arthropods" "burrowing_owl"
"burrowing_owl" "unknown_snake"
"cottontail_rabbits" "great_horned_owl"
"great_horned_owl" "muskrat"
"deer_mouse" "great_horned_owl"
"great_horned_owl" "weasel"
"gopher" "long-eared_owl"
"cottontail_rabbits" "long-eared_owl"
"long-eared_owl" "harvest_mouse"
"unidentified_bird" "long-eared_owl"
"deer_mouse" "long-eared_owl"
"grasshopper_mouse" "long-eared_owl"
"gopher" "barn_owl"
"kangaroo_rat" "barn_owl"
"cottontail_rabbits" "barn_owl"
"prairie_vole" "barn_owl"
"barn_owl" "meadow_vole"
"hispid_pocket_mouse" "barn_owl"
"unidentified_bird" "barn_owl"
"barn_owl" "westwern_meadowlark"
"deer_mouse" "barn_owl"
"grasshopper_mouse" "barn_owl"
"black-tailed_jackrabbit" "golden_eagle"
"white-tailed_jackrabbit" "golden_eagle"
"cottontail_rabbits" "golden_eagle"
"ground_squirrel" "golden_eagle"
"golden_eagle" "unknown_small_mammal"
"black-tailed_jackrabbit" "ferruginous_hawk"
"white-tailed_jackrabbit" "ferruginous_hawk"
"gopher" "ferruginous_hawk"
"cottontail_rabbits" "ferruginous_hawk"
"ground_squirrel" "ferruginous_hawk"
"horned_lark" "ferruginous_hawk"
"unknown_small_mammal" "ferruginous_hawk"
"westwern_meadowlark" "ferruginous_hawk"
"ferruginous_hawk" "long-billed_curlew"
"weasel" "ferruginous_hawk"
"black-tailed_jackrabbit" "Swainson's_hawk"
"white-tailed_jackrabbit" "Swainson's_hawk"
"Swainson's_hawk" "vole"
"gopher" "Swainson's_hawk"
"kangaroo_rat" "Swainson's_hawk"
"cottontail_rabbits" "Swainson's_hawk"
"Swainson's_hawk" "ring-necked_pheasent"
"ground_squirrel" "Swainson's_hawk"
"horned_lark" "Swainson's_hawk"
"unidentified_bird" "Swainson's_hawk"
"unknown_small_mammal" "Swainson's_hawk"
"westwern_meadowlark" "Swainson's_hawk"
"Swainson's_hawk" "killdeer"
"Swainson's_hawk" "mountain_plover"
"lark_bunting" "Swainson's_hawk"
"deer_mouse" "Swainson's_hawk"
"unknown_snake" "Swainson's_hawk"
"burrowing_owl" "Swainson's_hawk"
